2026/06/18 21:56:02 GET /api/groups 200 1.0812ms
2026/06/18 21:56:02 GET /api/tasks 200 3.1007ms
2026/06/18 21:56:02 OPTIONS /api/auth/me 204 0s
2026/06/18 21:56:02 GET /api/auth/me 200 1.0864ms
2026/06/18 21:56:02 OPTIONS /api/groups 204 0s
2026/06/18 21:56:02 OPTIONS /api/tasks 204 802.2µs
2026/06/18 21:56:02 GET /api/groups 200 1.2586ms
2026/06/18 21:56:02 GET /api/tasks 200 2.8322ms
2026/06/18 21:56:08 OPTIONS /api/auth/me 204 0s
2026/06/18 21:56:08 GET /api/auth/me 200 1.3251ms
2026/06/18 21:56:08 OPTIONS /api/groups 204 0s
2026/06/18 21:56:08 OPTIONS /api/tasks 204 0s
2026/06/18 21:56:08 GET /api/groups 200 2.1162ms
2026/06/18 21:56:08 GET /api/tasks 200 3.1594ms
2026/06/18 21:56:48 OPTIONS /api/auth/me 204 0s
2026/06/18 21:56:48 GET /api/auth/me 200 1.0828ms
2026/06/18 21:56:48 OPTIONS /api/auth/me 204 0s
2026/06/18 21:56:48 OPTIONS /api/groups 204 0s
2026/06/18 21:56:48 OPTIONS /api/tasks 204 0s
2026/06/18 21:56:48 GET /api/auth/me 200 509.4µs
2026/06/18 21:56:48 GET /api/groups 200 1.0678ms
2026/06/18 21:56:48 GET /api/tasks 200 2.3428ms
2026/06/18 21:56:48 OPTIONS /api/groups 204 0s
2026/06/18 21:56:48 OPTIONS /api/tasks 204 0s
2026/06/18 21:56:48 GET /api/groups 200 1.3598ms
2026/06/18 21:56:48 GET /api/tasks 200 2.4023ms
2026/06/18 21:56:59 OPTIONS /api/auth/me 204 0s
2026/06/18 21:56:59 GET /api/auth/me 200 1.2616ms
2026/06/18 21:56:59 OPTIONS /api/groups 204 0s
2026/06/18 21:56:59 OPTIONS /api/tasks 204 0s
2026/06/18 21:56:59 GET /api/groups 200 2.6936ms
2026/06/18 21:56:59 GET /api/tasks 200 5.0585ms
2026/06/18 21:57:07 OPTIONS /api/tasks 204 0s
2026/06/18 21:57:07 GET /api/tasks 200 3.5139ms
2026/06/18 21:57:12 OPTIONS /api/tasks 204 0s
2026/06/18 21:57:13 GET /api/tasks 200 4.1279ms
2026/06/18 21:57:21 OPTIONS /api/tasks 204 0s
2026/06/18 21:57:21 GET /api/tasks 200 3.3885ms
2026/06/18 21:57:45 OPTIONS /api/tasks/7 204 0s
2026/06/18 21:57:45 DELETE /api/tasks/7 200 25.1098ms
2026/06/18 21:57:47 OPTIONS /api/tasks/17 204 0s
2026/06/18 21:57:47 DELETE /api/tasks/17 200 7.3874ms
2026/06/18 21:57:48 OPTIONS /api/tasks/18 204 0s
2026/06/18 21:57:48 DELETE /api/tasks/18 200 8.8671ms
2026/06/18 21:58:00 OPTIONS /api/tasks/12 204 0s
2026/06/18 21:58:00 PUT /api/tasks/12 200 15.1657ms
2026/06/18 21:58:06 OPTIONS /api/tasks 204 0s
2026/06/18 21:58:06 GET /api/tasks 200 2.4321ms
2026/06/18 21:58:18 OPTIONS /api/tasks 204 1.0115ms
2026/06/18 21:58:18 POST /api/tasks 201 18.5139ms
2026/06/18 21:58:27 OPTIONS /api/tasks 204 0s
2026/06/18 21:58:27 POST /api/tasks 201 9.4645ms
2026/06/18 21:58:31 OPTIONS /api/tasks 204 1.014ms
2026/06/18 21:58:31 GET /api/tasks 200 3.3197ms
2026/06/18 21:58:32 OPTIONS /api/tasks 204 0s
2026/06/18 21:58:32 GET /api/tasks 200 2.9141ms
2026/06/18 21:58:44 OPTIONS /api/tasks 204 0s
2026/06/18 21:58:44 POST /api/tasks 201 11.6373ms
2026/06/18 21:58:56 OPTIONS /api/auth/login 204 0s
2026/06/18 21:58:56 POST /api/auth/login 200 2.8005ms
2026/06/18 21:58:56 OPTIONS /api/groups 204 0s
2026/06/18 21:58:56 OPTIONS /api/tasks 204 0s
2026/06/18 21:58:56 GET /api/groups 200 1.0415ms
2026/06/18 21:58:56 GET /api/tasks 200 3.4596ms
2026/06/18 21:59:02 OPTIONS /api/tasks/21 204 0s
2026/06/18 21:59:02 PUT /api/tasks/21 200 13.4202ms
2026/06/18 21:59:04 DELETE /api/tasks/21 200 61.0703ms
